from,to,n
Gonzales County,Ochiltree County,0
Gonzales County,Bexar County,112
Gonzales County,Floyd County,0
Gonzales County,Brooks County,0
Gonzales County,Irion County,0
Gonzales County,Cochran County,0
Gonzales County,Kerr County,0
Gonzales County,Marion County,0
Gonzales County,Moore County,0
Gonzales County,Maverick County,0
Gonzales County,Nueces County,0
Gonzales County,Briscoe County,0
Gonzales County,Austin County,0
Gonzales County,Hockley County,0
Gonzales County,Swisher County,0
Gonzales County,Childress County,0
Gonzales County,Kaufman County,0
Gonzales County,Foard County,0
Gonzales County,Schleicher County,0
Gonzales County,Edwards County,0
Gonzales County,Hamilton County,0
Gonzales County,Potter County,0
Gonzales County,Trinity County,0
Gonzales County,Hudspeth County,0
Gonzales County,Brazoria County,0
Gonzales County,Montague County,0
Gonzales County,Tyler County,0
Gonzales County,Burleson County,0
Gonzales County,Llano County,0
Gonzales County,Grimes County,0
Gonzales County,Hansford County,0
Gonzales County,Orange County,0
Gonzales County,Harris County,83
Gonzales County,Nacogdoches County,0
Gonzales County,Shackelford County,0
Gonzales County,Sutton County,0
Gonzales County,Young County,0
Gonzales County,Fayette County,77
Gonzales County,Hood County,0
Gonzales County,Hopkins County,0
Gonzales County,Karnes County,61
Gonzales County,Lubbock County,0
Gonzales County,Coleman County,0
Gonzales County,Washington County,0
Gonzales County,Webb County,0
Gonzales County,Wise County,0
Gonzales County,Fisher County,0
Gonzales County,Oldham County,0
Gonzales County,Williamson County,15
Gonzales County,Armstrong County,0
Gonzales County,Frio County,0
Gonzales County,Erath County,0
Gonzales County,Stonewall County,0
Gonzales County,Anderson County,0
Gonzales County,Duval County,0
Gonzales County,Comal County,60
Gonzales County,Hall County,0
Gonzales County,Hardeman County,0
Gonzales County,Collin County,6
Gonzales County,Motley County,0
Gonzales County,Concho County,0
Gonzales County,Dawson County,0
Gonzales County,Kent County,0
Gonzales County,San Augustine County,0
Gonzales County,Wood County,0
Gonzales County,Garza County,0
Gonzales County,Culberson County,0
Gonzales County,Henderson County,0
Gonzales County,Presidio County,0
Gonzales County,Reeves County,0
